status_1,Concept
status_2,Voorgemeld
status_3,Aangeboden aan PostNL
status_4,In sorteerproces
status_5,In distributie
status_6,Zending bij douane
status_7,Zending afgeleverd
status_8,Zending op afhaallocatie
status_9,Zending afgehaald op afhaallocatie
status_10,Retourzending afgeleverd
status_11,Retourzending op afhaallocatie
status_12,Ongefrankeerd label geprint
status_13,Gecrediteerd
status_30,Inactief - Concept
status_31,Inactief - Voorgemeld
status_32,Inactief - Aangeboden bij MyParcel
status_33,Inactief - In sorteerprocess
status_34,Inactief - In distributie
status_35,Inactief - Zending bij douane
status_36,Inactief - Zending afgeleverd
status_37,Inactief - Zending op afhaallocatie
status_38,Inactief - Zending afgehaald op afhaallocatie
status_39,Inactief - Retourzending afgeleverd
status_40,Inactief - Retourzending op afhaallocactie
status_99,Inactief - Onbekende status
Version and support,Versie en support
General settings,Algemene instellingen
API settings,API instellingen
To get your personal API credentials please contact MyParcel BE.,Neem contact op met MyParcel BE om de API gegevens te ontvangen.
The API Key given by MyParcel BE,Stel hier de API key in die is ontvangen vanuit MyParcel BE
Default shipment settings,Standaard verzendinstellingen
Checkout settings,Checkout instellingen
Print MyParcel labels directly,Print MyParcel labels direct
Print settings,Print instellingen
Paper type,Print oriëntatie
Select a standard orientation for printing labels.,Selecteer een standaard print ori&euml;ntatie voor het printen van labels.
Default shipping options,Standaard verzendinstellingen
"Fill in your preferences for a shipment. These settings will only apply for the mass actions in the order grid. When creating a single shipment, these settings can be changed manually. These settings will activate based on the order total amount.","Vul hier uw standaard voorkeuren in voor uw verzendopties. Deze instellingen worden als default op al uw zendingen toegepast, indien van toepassing. Deze opties zijn later, per zending, uiteraard nog wel aan te passen tijdens het verwerken."
Automate 'Signature on receipt',Automatiseer 'Handtekening voor ontvangst'
'Signature on receipt' operates above a certain order total amount,'Handtekening voor ontvangst' wordt geactiveerd als het totaal bedrag meer is dan bovenstaande bedrag
Automate 'Insurance € 500',Automatiseer 'Verzekerd tot € 500'
"'Insurance € 500' operates above a certain order total amount. For NL shipping only, shipments inside the EU insured default is € 500.","'Verzekerd tot € 500' wordt geactiveerd als het totaal bedrag meer is dan bovenstaande bedrag. Alleen voor Nederlandse verzendingen, zendingen naar landen binnen de EU zijn standaard verzekerd tot € 500."
From price,Vanaf prijs
Track number,Track nummer
Track status,Track status
Track action,Track actie
MyParcel options,MyParcel opties
Package,Pakket
Letter,Ongefrankeerd
Home address only,Alleen huisadres
Signature on receipt,Handtekening voor ontvangst
Insured up to:,Verzekeren tot:
Download package label,Download pakket label
Download letter label,Download ongefrankeerd label
Create new concept,Creëer nieuw concept
Create shipment,Zending aanmaken
Please select an item from the list,Selecteer eerst een order uit de lijst
⚠️&#160; Please check address,⚠️&#160; Controller het adres
No key found. Go to Configuration and then to MyParcel to enter the key.,Geen API key gevonden. Ga naar Configuratie en vervolgens naar MyParcel om de API key in te voeren.
"No shipment can be made with this order. Shipments can not be created if the status is On Hold or if the product is digital.","Er kan geen zending met deze bestelling gemaakt worden. Zendingen kunnen niet worden aangemaakt als de status 'Wordt vastgehouden' is of als het product digitaal is."
MyParcel Track,MyParcel barcode
